time,torque,temptop,tempmid,tempbot,fic,icangle,balance,mass,dm,alpha,torquenorm,alpha100
688.6999999999999,31.974037711424486,2565.815286624204,2605.063694267516,2498.2611464968154,-17.076341825902322,-736487462.0080189,8503.585987261147,16669.585987261147,-0.2888535031847118,0.8125620977923901,0.8793712517745129,81.25620977923901
683.8900000000001,31.97883318174176,2566.865580448065,2605.122199592668,2501.81466395112,-17.08233604887985,-736457890.4217715,8639.006109979633,16805.006109979633,-0.2727087576374775,0.8135560178996046,0.8795031399887513,81.35560178996046
679.075,31.972739152759825,2566.7923728813557,2608.635593220339,2507.5550847457625,-17.07805720338982,-736428287.489413,8773.85593220339,16939.85593220339,-0.2824999999999926,0.8145469643561586,0.8793355379504175,81.45469643561586
674.3050000000001,31.924301322521952,2568.609958506224,2612.589211618257,2514.2365145228214,-17.084701244813292,-736398952.0761877,8910.69917012448,17076.69917012448,-0.2951659751037353,0.815553793239673,0.8780033685261506,81.5553793239673
669.4850000000001,31.926638601320835,2574.2116182572613,2611.136929460581,2515.4771784232366,-17.080612033195013,-736369308.676948,9046.948132780082,17212.948132780082,-0.27593360995850624,0.8165574763633006,0.878067649922253,81.65574763633006
664.62,31.881889107806916,2581.020366598778,2610.62932790224,2515.3462321792263,-17.07935030549898,-736339395.8460115,9184.816700610998,17350.816700610998,-0.2712219959266841,0.8175743561304785,0.8768369195877619,81.75743561304785
659.8,31.858629892137596,2586.4841437632135,2615.964059196617,2515.8837209302324,-17.077697674418594,-736309760.8796362,9316.241014799154,17482.241014799154,-0.28619450317124523,0.8185448833296113,0.8761972291682089,81.85448833296113
654.935,31.912196370658002,2586.64,2627.324,2521.32,-17.089488000000014,-736279839.5443838,9451.816,17617.816,-0.27912000000000264,0.8195472650238499,0.8776704500887188,81.95472650238499
649.96,31.894872874629822,2586.9959595959594,2633.90101010101,2524.0060606060606,-17.08146464646466,-736249240.046748,9588.68686868687,17754.68686868687,-0.2655353535353509,0.8205604746068315,0.8771940077787139,82.05604746068315
645.0949999999999,31.893000318245516,2587.4853556485355,2633.2594142259413,2530.100418410042,-17.078251046025102,-736219328.5814404,9721.18410041841,17887.18410041841,-0.27401673640167273,0.8215425018524932,0.8771425074875544,82.15425018524932
640.29,31.82856243227544,2587.3933747412007,2635.695652173913,2537.2111801242236,-17.080859213250527,-736189780.5094719,9852.828157349897,18018.828157349897,-0.28010351966873887,0.8225193728394903,0.8753702938885518,82.25193728394903
635.3149999999999,31.817694176947082,2586.59375,2637.1640625,2538.390625,-17.086933593750008,-736159186.0612004,9989.30859375,18155.30859375,-0.26810546875000085,0.8235333595801638,0.875071387901796,82.35333595801639
630.3399999999998,31.870361765537645,2591.4927536231885,2645.2028985507245,2539.815734989648,-17.0842132505176,-736128585.417728,10125.436853002071,18291.43685300207,-0.27973084886128485,0.8245459644450583,0.8765198869535837,82.45459644450584
625.4449999999999,31.82890926698085,2593.564516129032,2647.717741935484,2545.5403225806454,-17.079752016129024,-736098482.7173,10260.245967741936,18426.245967741936,-0.26508064516128943,0.8255499904482643,0.8753798327673074,82.55499904482643
620.5699999999999,31.788930084425306,2593.6931106471816,2645.4592901878914,2551.6931106471816,-17.076968684759905,-736068509.8525434,10393.553235908143,18559.55323590814,-0.28580375782880546,0.8265440350808034,0.8742802986976321,82.65440350808035
615.665,31.79811573404234,2598.386454183267,2645.4501992031874,2554.2470119521913,-17.085013944223096,-736038350.9446683,10528.936254980079,18694.93625498008,-0.2647410358565766,0.8275547805999371,0.8745329285429772,82.75547805999372
