t0,a0,t5,a5,t10,a10,t20,a20,t30,a30,t40,a40,t50,a50,t60,a60,t65,a65,t70,a70,t75,a75,t80,a80,t90,a90,t100,a100
4126745005166.884,0.00524471544199504,2367480353196.9785,0.0051959159119905,1519424765252.2817,0.005106355304991695,918977220631.5035,0.004992401021709718,603936779996.0575,0.004888507930653734,360202045122.25305,0.004790595374047652,197564121772.38812,0.0046546647304232395,125983437818.51411,0.004541844121685723,97517876544.54813,0.0044576140997418705,5888904491126.936,0.004577331370648092,4758986850134.375,0.004544215370912215,4106562312784.9365,0.004481989911462721,2447136669542.264,0.004363645231449868,1980814097336.0217,0.004230488752937391
4227954647753.275,0.005234666912865423,2425648340795.668,0.005184031477809405,1556779344218.0764,0.005089897675686422,941459172528.3185,0.004982313600741049,618663380753.5732,0.004883644859908377,369088916916.9108,0.0047863163394401866,202443426583.84738,0.004660694104046078,129054433670.07251,0.004541254719254865,99907065212.08134,0.004440929698815575,6033643277994.279,0.004552130385265562,4875399189008.446,0.0045286145137201925,4208042005361.942,0.00445599415557033,2506545608634.855,0.004341070730646587,2029691282993.588,0.004220183342590817
4331184565153.484,0.005202328910412044,2484363768954.258,0.0051747241682881,1594763586515.1206,0.005083939286899692,964595177970.1772,0.004972201217466261,633685889544.7872,0.004890162367785178,378145644557.2056,0.004780354495880101,207391042411.82516,0.004666365065262821,132197084762.80011,0.0045353480568823875,102357042782.9541,0.004450546961205412,6179994760808.882,0.0045298585163039175,4993726673787.731,0.004530987336081287,4310422888620.064,0.004486948499348626,2567498801651.993,0.004427753604781185,2078898190549.612,0.004240718044843555
4435603623816.014,0.005190899328667122,2543947897254.6626,0.005174126339735964,1633235870839.5012,0.005080852612650358,987889797064.4149,0.004964427359393671,648999782968.8937,0.004872926309886133,387230615284.3211,0.004775681108220493,212437899908.17078,0.004647577970808686,135399026518.28537,0.004532146796695201,104802517324.67752,0.004446491014767189,6330053342436.693,0.00456713771639628,5114027373098.717,0.0046024397303677,4413582210239.102,0.0045201055595302615,2629669533285.955,0.00441553619162231,2129110583318.2432,0.004279875380876152
4541572415627.755,0.005192265269486444,2604792489919.982,0.005172450170668629,1672075576828.6292,0.005069280085060132,1011211269245.0033,0.0049801183205551046,664476107191.3352,0.004859539881372591,396359771510.75476,0.0047539750542015405,217513330249.05167,0.00464054348179437,138634473980.84262,0.004532162170724724,107292901965.21793,0.004445336805493857,6479274018062.82,0.004630861270037788,5236478347633.369,0.004613662930992717,4518198625938.465,0.004566360085279067,2692372398279.6343,0.0044595641984699706,2180190321872.741,0.004307467087921994
4649059106327.67,0.005180442488904133,2666698975116.907,0.005170570846159269,1711557671449.1484,0.005074026110976476,1035015266690.8176,0.004966708676645867,680112622304.3953,0.004862285860035976,405630552232.2215,0.00476172419574475,222596962192.9932,0.004648667560404745,141874850581.87857,0.004540317272899196,109819042399.74573,0.004449536880864743,6630981432153.494,0.004627604095227564,5360166005901.498,0.004601012759879875,4624846302522.989,0.004576996709672511,2756599479177.88,0.004443880969468119,2230985569828.929,0.004369821065932427
4755632542226.302,0.005177188226434379,2728252359163.3887,0.005186041012805864,1751407189872.352,0.005073581057395504,1059169159518.9668,0.0049650320972115585,695767968610.0353,0.004862700191049303,415021116100.0227,0.004757004451987154,227723472191.25214,0.004651732627380773,145163420007.25552,0.00454925083608107,112367968650.22395,0.004448576850643593,6784964802150.05,0.004646846373501906,5483286332207.31,0.0046091993224323165,4733332944527.722,0.004561527393950865,2819540098806.367,0.004438791354157159,2282442222714.489,0.004393105789223175
4865628204057.774,0.005175265806911542,2790746714707.369,0.005195406246881697,1791578610907.1062,0.00508016891739873,1083452462126.8448,0.0049612593465607775,711773960734.3959,0.0048593102829145324,424584683960.2958,0.004749437517119183,232970810048.90204,0.004646829598712225,148507722858.5159,0.004545156982534407,114960192597.80086,0.004446942089538135,6942324921584.585,0.00460613832816737,5609779222346.707,0.004597839355985958,4842491949243.06,0.004569848372106911,2884675663011.83,0.004419512981049506,2335074376129.6035,0.0043670707985580615
4976632956915.883,0.005181270641994716,2854704453144.634,0.005189708527964313,1831668650500.4949,0.005075216875857159,1107954396906.8816,0.004961642406532,727986061124.1729,0.004845769221978335,434328301317.69824,0.004740694767075323,238291053819.01898,0.004643069848686219,151874786498.83847,0.004539703436657233,117565792449.68065,0.004438489887485882,7101043483572.075,0.004621780092898709,5737964585103.201,0.004585607156374723,4951453398804.342,0.004659059740630476,2950616200710.4546,0.004424536605793379,2388143976580.7803,0.004316624400291299
5088720992965.043,0.005184659734275376,2918488966167.1035,0.0051881023791729795,1873367616718.6245,0.0050740334338604,1132817452217.5461,0.004950119219252002,744247188436.4719,0.004841351475896347,444150376645.08466,0.004727403399518485,243706713233.59198,0.0046228312498021425,155300540314.418,0.004528248905639221,120225935508.85072,0.004434042455485059,7258836782553.776,0.004618844645684074,5867478802377.901,0.0045932233909185575,5062200354678.907,0.0046737437709898,3016765875469.882,0.004434089566567154,2442121000207.274,0.0043742559689592475
